JOBID PARTITION NAME USER STATE TIME TIME_LIMIT NODES NODELIST(REASON) PRIORITY
6633738 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA6.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633737 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA5.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633736 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA5.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633735 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633734 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633733 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA3.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633732 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA3.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633731 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA2.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633730 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA2.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633729 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633728 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633727 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepMSA.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633726 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q4JGI5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633725 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q3JGI5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633724 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q4JGI4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633723 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q3JGI4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
